Name,Sule,Sule Myodaw Hall,Yoke Shin Yone,Youk Lan,Youk Lann,Youk Lan 2,Kyauk Taing,U Htaung Bo,Bahan 3 Lan,Taung Phat Mote,A Shae Phat Mote,Pan Soe Tan,Bar Lan,Pan Soe Tan2,Railway,Kan Yeik Thar,Thein Gyi Zay,Kone Zay Tan,Bo Gyoke Zay,Phyar Lan,Construction,Phone Gyi Lan,San Pya,Tha Yet Taw,Pegu Club,Myaeni Gone,Hantharwady,Hledan,Wizaya Plaza,Yae Khae Saing,Shwe Gon Daing 2,Shwe Gon Daing,Har Mit Tic,Har Mit Tic 2,Kokkaing,Myanmar Plaza,Inya Myaing,Thanlwin,UFL,U Wisara Awine,Lanmadaw
A Shae Phat Mote,2.8193476933689734,2.552948218148726,2.3033566060607966,1.8994682212734137,1.5195649145513899,1.7610641144441361,1.2765054591727394,0.6641225117720619,0.6614857951025466,0.38517373930953086,0.0,2.908106811681916,2.6662935903134857,2.4198601052648376,2.026340970460688,1.3014056215680851,2.6845512073667814,2.4182079562188843,2.1425992295654037,1.8668155920138148,1.3894842298941037,2.7222168568264355,2.4680338446922323,2.1632644325850925,1.5586574574390906,1.4149979770939949,2.4390141790913606,3.759973363152021,1.1337076737015974,0.7540572652804791,0.6392074532987011,0.9168922510803852,1.9177401465860036,1.2890074848853255,2.747298370135955,3.3953748278199756,2.9928471274880915,2.9053466012293,3.194068323721192,0.6548743093300087,2.1471815367598523
Pan Soe Tan,0.30894449596674145,0.4080934208792617,0.6113377546304166,1.0169119240320597,1.3892344316607212,1.1941422624276157,1.6469848273520196,2.3926496487401168,2.777718131343076,2.621889006789921,2.908106811681916,0.0,0.26708009821853135,0.5452710260541636,1.0127695114843902,2.114419511848549,0.9158559430013475,0.9601404574330221,1.0589312823160357,1.222687206677535,1.5877879733832008,1.80091323846416,1.8160518663108935,1.895093067094635,2.6072797773218923,3.7924560252802424,5.205169272793404,6.617995342059648,3.8916478434993715,2.934411974706369,3.232783999764624,3.588114238101526,4.597801721208597,3.949828477444598,5.498864819522018,6.129138614614869,5.840673019589135,5.798790244953063,6.102089635959006,2.77101776514308,1.5730935913103024
Bar Lan,0.42342185529804716,0.3193865644959842,0.4080904712688541,0.7675061724688859,1.1534082869364801,0.9339652064376122,1.3968213947251518,2.135622737349293,2.5159440461831712,2.392630198887668,2.6662935903134857,0.26708009821853135,0.0,0.2781911010095276,0.7456902805715778,1.8473394400473875,0.9579867474130269,0.9264874953347723,0.9534253866982797,1.0649178752812303,1.379242990049367,1.8197102070532336,1.7963596579613652,1.830400995898924,2.4688159531981357,3.6021647982901235,4.991792751514056,6.39300642609719,3.67215750072158,2.671076119043738,2.973950289231666,3.3284854031052724,4.334801391926754,3.688123049796708,5.236805964194041,5.865780521577985,5.5839800385880105,5.548425397889474,5.858448048009786,2.5625646567288536,1.5041394537613215
Pan Soe Tan2,0.6465519551900966,0.4315056817827675,0.3195759542557279,0.5262291590582805,0.9257146376762828,0.6686185195418163,1.1442040419945567,1.8707546538658677,2.2445061263089516,2.162818058704113,2.4198601052648376,0.5452710260541636,0.2781911010095276,0.0,0.46750380163350935,1.5691490408087951,1.0727751463167472,0.9711410782966481,0.9158323441803096,0.9534140869547632,1.1868790411627288,1.8794481097904092,1.8173905498518643,1.8026153928963815,2.3479191802059676,3.4145734994346486,4.775003569065024,6.161980392489279,3.4504019337603933,2.397579879305171,2.7059283077396867,3.0593026850107754,4.061341472319421,3.4163163128239633,4.964321927806773,5.591762930496434,5.317564922561256,5.2892186086547,5.606747620899769,2.3577312875303993,1.480471669443596
Railway,1.0816385838017315,0.8236862337969033,0.5870883648069418,0.32111296022553315,0.643466705133683,0.2875289823108044,0.7633545913597727,1.4384871884379153,1.7940223572361385,1.8099272629490952,2.026340970460688,1.0127695114843902,0.7456902805715778,0.46750380163350935,0.0,1.1016530488514324,1.377470648487305,1.2001786669161734,1.0370659692791653,0.9410905304723076,0.9664559465813207,2.0650783392874885,1.9471683006748923,1.8549030558085593,2.213028023996915,3.1326633323312785,4.428541267164062,5.785167716862128,3.1006880473878837,1.9418003602019283,2.2622115117556603,2.6122579402024133,3.6041616256357276,2.96309512495398,4.5087684214494255,5.132952921429529,4.873924495589762,4.8597403632671625,5.191469695169298,2.055523561388498,1.5594161182532966
Kan Yeik Thar,2.160041250471249,1.8873953857195447,1.62481270415629,1.1905420833188711,1.0440223072548689,0.9741842782915296,0.7689633461731556,0.6462484727853252,0.8074884753907678,1.2966415309095365,1.3014056215680851,2.114419511848549,1.8473394400473875,1.5691490408087951,1.1016530488514324,0.0,2.317640204197189,2.0801217304319275,1.8297917072677718,1.595413159868825,1.236992430071585,2.7733186987419693,2.5776114395197176,2.3648615812944263,2.267907000527318,2.674575624697476,3.712131106929575,4.953280014457688,2.4313434528774693,0.9118405872262689,1.2805680797979992,1.601704921920287,2.539378005426876,1.9192964282715927,3.445641007182281,4.057745950184921,3.8477600643118315,3.878699591169691,4.251545031369724,1.6690135307738045,2.168738829165114
Thein Gyi Zay,0.6077581519638391,0.6542901560316218,0.801817210152556,1.149994167767961,1.3105868304237294,1.364331594104814,1.6196697928295862,2.34615591729259,2.7698418793470325,2.329357932978666,2.6845512073667814,0.9158559430013475,0.9579867474130269,1.0727751463167472,1.377470648487305,2.317640204197189,0.0,0.26686782394716485,0.5452710251792398,0.8234620640885344,1.3061939687711606,0.8853925491587177,0.9243517341752802,1.0702093713351557,1.925771530734713,3.2483855575463045,4.736916379653481,6.194982320900266,3.483127795130048,2.9456096352672945,3.1589655176307314,3.511187497996055,4.5479793395624215,3.8929629591989516,5.41604034337812,6.062226659899201,5.676624315979895,5.568020655701597,5.809295415155903,2.351777902376633,0.7851096348552974
Kone Zay Tan,0.6770438432575816,0.6072415186671684,0.6641689969728484,0.9398409870883424,1.05745650256833,1.1469028183399548,1.365160943310195,2.083557338438686,2.507826998058421,2.064624170726409,2.4182079562188843,0.9601404574330221,0.9264874953347723,0.9711410782966481,1.2001786669161734,2.0801217304319275,0.26686782394716485,0.0,0.2788015587811314,0.5568912295742031,1.0395226792599352,0.9085450973601622,0.8701061640126492,0.937160378352203,1.724138683307675,3.017261938444377,4.495859332709858,5.949159264219083,3.231211213910357,2.6841692263287906,2.8932183647766974,3.2450225566751607,4.2818111137880415,3.6269971512292347,5.14921642727049,5.795455654688363,5.410585089926519,5.304366414274442,5.549618126570619,2.096972508485777,0.6204300933373396
Bo Gyoke Zay,0.8229156106203437,0.6580200877655432,0.5971127893280336,0.7419781485008773,0.7936396876121632,0.9315093946473786,1.0978260217678704,1.8068342472397365,2.2314482478087605,1.792950582097152,2.1425992295654037,1.0589312823160357,0.9534253866982797,0.9158323441803096,1.0370659692791653,1.8297917072677718,0.5452710251792398,0.2788015587811314,0.0,0.2781910952209896,0.7609338222422625,1.0287198526831893,0.9190200223317866,0.8880881440920575,1.552010875139032,2.795343162399941,4.258006129795164,5.703975297458514,2.9795728278969147,2.4082102420743228,2.6144746318214627,2.9662211288007683,4.00301003760865,3.348207197940516,4.870907767302356,5.517004109581668,5.135406134150009,5.033690014987011,5.285203168987374,1.8429644785489385,0.564679376866595
Phyar Lan,1.031300414322972,0.8153693299638738,0.6631605887363943,0.6213132915439693,0.5514658912061253,0.7681893520264856,0.8431886729800107,1.5333436406830243,1.9582764582786087,1.5216584606480181,1.8668155920138148,1.222687206677535,1.0649178752812303,0.9534140869547632,0.9410905304723076,1.595413159868825,0.8234620640885344,0.5568912295742031,0.2781910952209896,0.0,0.48275504083951987,1.1945403670894559,1.0335764475468245,0.9140225507348642,1.4050269776456659,2.577860569186044,4.020073666325632,5.45733704120393,2.728750163794797,2.1356191048414437,2.3368361140862546,2.6882418865680937,3.725015277359142,3.0703606658267617,4.592794578829713,5.238838520650462,4.859602515729655,4.761988077210994,5.01948953947738,1.59259418181371,0.6292045142343536
